,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
2011,2011,862,41,"Beautiful shade of pink, very low-cut","I bought the pink, which is a vibrant but not neon shade of deep reddish pink. love it. i love how the flutter of the sleeves is balanced with a slimmer fitting body, which keeps it from looking frumpy. i did order a size down to achieve this look. i prefer a more tailored look so this suits me while satisfying my desire for a little whimsy now and then. my only issue is that it's too low cut. trying to decide if i just need to wear it with a lower-cut bra or if this requires a cami. i hate laye",4,1,2,General Petite,Tops,Knits
22877,22877,895,44,Beautiful sweater,"I bought this sweater in the black. it is so flattering and feels great on. the sleeves are a bit long, but they are supposed to be. the material is not overly thick, yet it feels soft and well made. while the lace sleeves are the star of this show, the back is so flattering! it has a perfect cut that i don't think comes through in the picture. it fits true to size. love this one!!!!",5,1,27,General Petite,Tops,Fine gauge
20612,20612,1030,39,So cozy,"These jeans are super cozy!  the material is so soft, they feel like i'm wearing yoga pants. the color has a little more depth than in the photo, not just straight navy as it appears. my only issue is because they are so soft, they lose a little shape after worn all day. love mother jeans!",4,1,1,General,Bottoms,Jeans
5416,5416,877,50,Fun sweatshirt,"Cute sweatshirt with fun print. i bought it using retailer discount, and probably would not have paid full price for it. embroidery is a nice touch. i ordered an xs, which fits fine, but the overall design of the shirt is a little short and boxy. i did not realize until it arrived that the back of the shirt is a v neck. it's not a deep v, but it feels a little odd at first.",4,1,3,General,Tops,Knits
4497,4497,1086,37,,"This dress is beautiful on, is thin enough to be extremely comfortable. being curvy, it feels a little more narrow than i would prefer, but i kept it anyway because it is so beautiful as well as functional.",5,1,1,General,Dresses,Dresses
23215,23215,1122,56,,I ordered the chelan wrap coat in the beautiful red color. it's artsy and will be fun to wear with jeans and other casual clothing. it's super comfy and fits true to size.,5,1,0,General,Jackets,Outerwear
22676,22676,1110,65,It's very cute,"I love the color blocking but dress hangs a little strange on me. love the pockets, thought about sending it back and decided it is very comfortable, i will wear it but not quite what i was hoping for.",3,0,1,General Petite,Dresses,Dresses
5111,5111,978,49,Double duty: functional & fashionable,"I am a lover of jackets and coats; this is my new fave! 
great color, versatile (i.e. work, weekend). fun accent piece to shield yourself from a brisk wind, while maintaining full fashion status. 
my first day wearing and i've rec'd many compliments. love the combo of trench coat and poncho. my one issue...i wish the sleeve strap actually buckled, it keeps slipping out of the faux buckle and i'm afraid i'm going to lose it. i usually wear a medium/size 10, but medium was sold out, so i ordered",5,1,1,General Petite,Jackets,Jackets
8125,8125,472,42,Perfect fit shorts,"I typically wear boring shorts. you know - khaki. i saw these in the store and had to try them on. true to size in the waist, not too short, and the leg fit was perfect (slim without being skin tight). the pattern is far from boring. i can't wait to wear them out.",5,1,3,General Petite,Bottoms,Pants
6718,6718,1094,62,Flattering dress,"Soft, silky, lined in silky natural fabric, hangs great without being weighty. extremely flattering on my xl short body. i'm petite, but for tunic dresses always order regular sizes, so they go just a hint over my knees--exactly what i need. lovely details: sequins and weighted tassels. highly recommend!",5,1,0,General,Dresses,Dresses
15619,15619,953,61,The pictures do not do it justice,This is the most fabulous sweater ever. i really hesitated spending $368 for a sweater but this sweater is worth every dime! it is soft and luxurious. i tried it over a cashmere cable knit dress and it looks unbelievable -- i also tried it over jeans and it looks equally as good. if it came in another color - i'd buy it too.,5,1,0,General,Tops,Sweaters
4200,4200,1025,31,Not entirely as described,"The item i received was not distressed. i bought one size larger thinking they'd be super slouchy, but they just looked sloppy. also, the hips puffed out in a very strange way. i wanted to love since they are so cute and soft, but i look like a man with hips in these jeans. returning this weekend.",3,0,0,General Petite,Bottoms,Jeans
2472,2472,753,51,Comfy but put together.,"Obsessed with this sweatshirt! it's a must have for any loungewear lover. i'm normally a xs but sized up to a s for a more loose, relaxed look. i was afraid it would swallow me, but i love the fit! the knot in the front is a nice detail that makes this comfy top really cute. the fabric is a great texture, great for transitioning from summer to fall and winter to spring. love everything about this sweatshirt and will easily pair with leggings or jeans. worth every penny!!!",5,1,6,Initmates,Intimate,Lounge
13891,13891,850,54,Perfect summer top,Loved this online and it did not disappoint. lightweight and super flattering. fabric is sheer with a lovely windowpane pattern. top front of the bodice is lined. looks great with a pair of jeans. super easy to care for. toss in washer in a mesh bag and it comes our perfectly. will likely be a go-to summer piece.,4,1,4,General,Tops,Blouses
21340,21340,1009,40,Darker colors then pictures,"The picture makes it looks like it has rich brown yellow and orange colors. when it came, it was more black with some orange that popped. much different then i expected. the material was nice and silky but i was not willing to keep something that was dry clean only. i sent it back.",3,1,0,General,Bottoms,Skirts
23075,23075,1080,48,,"This dress has rich color, excellent quality fabric and wonderful style. you can wear it now for fall with boots and jean jacket or in the summer for a great sun dress.",5,1,0,General Petite,Dresses,Dresses
191,191,895,52,Nice but too thin,"I was minimally torn over whether to return this but ultimately it's going back because the knit is just too thin. i thought it would be cozy and be of normal sweater weight but it's not. and because it's so light, the swing effect doesn't really come off. nothing special.",2,0,3,General Petite,Tops,Fine gauge
18932,18932,1104,39,Did not love the fabric...,"I have a dress very like this from retailer's fall line.  i love it, so i decided to try this one. the fabric is thinner than the other dress, which is good for spring, but it also seemed not such a great quality. i also didn't care for the texture. if this doesn't bother you, the pattern is very cute and the style is flattering. it is cute with a blazer.",3,0,5,General Petite,Dresses,Dresses
11306,11306,1096,48,Fabulous maxi dress,"I love this dress! i'm 5'5"", and it's just long enough to be dramatic and graze my feet without dragging on the ground with flat sandals. the print is lovely and the beading is subtle. as some have mentioned, the neck is high. it's definitely noticeable, but i didn't find it uncomfortable.",5,1,2,General Petite,Dresses,Dresses
22958,22958,1107,33,,"I bought the red motiff in my usual size of xxs petite and it was huge. at first i thought they had mistakenly sent the wrong size but this was sadly not the case. the fit is definitely ""sack-like"" as other reviewers mentioned. i had to return.",2,0,5,General Petite,Dresses,Dresses
13382,13382,1072,41,Beautifully bohemian,"I just love this dress! it is so pretty and feminine and comfortable. the colors and patterns are perfect for both spring and fall and i know that this is one piece that i will get a lot of use out of. originally, i thought the cut would be a bit boxy but it is not at all. in fact, the fabric is beautiful, soft, and flowy with a lovely bohemian aesthetic. it looks great with tights, tall boots and a big floppy wool hat. any one considering this dress should defiantly try it on, as it is highly u",5,1,1,General,Dresses,Dresses
22471,22471,862,40,Big and boxy,I bought this t-shirt in three colors and i'm keeping them because they work for what i want (travel clothes) but the t-shirts run big and are too boxy. i think they look nice if you tuck them in.,5,1,5,General Petite,Tops,Knits
301,301,984,38,Perfect denim jacket,"I have been searching for the perfect denim jacket and this it! i love the darker color, more modern day less 80s. it runs a little small. i am always either a s or xs at retailer. lately, their clothes seem to be running a little bigger, so i have been an xs in most tops. when i order online, i never know which size to get. i ordered an xs, however it was very tight in the arms and across the shoulders. i wanted to be able to roll the sleeves up, so i returned it for a s and it fits great. i was",5,1,0,General Petite,Jackets,Jackets
12190,12190,869,22,Love it!!,Love the shirt! fits great and is so cute! a must have for fall!,5,1,1,General,Tops,Knits
6935,6935,850,55,Gorgeous embroidery,"I absolutely love this shirt! i saw it in the retailer store and immediately knew i had to have it. all they had in stock was a size 2 and a size 8. i'm usually a 4-6 in button-up shirts, but i tried the 2 anyway and found it to be quite generously sized. i have a 32dd bust, so button-up shirts rarely fit me properly. this one was big enough to be comfortable worn out or tucked in, and was loose-fitting without being sloppy. when i discovered that it came in petite sizes, i asked the so to order t",5,1,5,General,Tops,Blouses
10222,10222,877,65,,It does snag easily which stinks because it's darling and i love it to pieces.... i just hope it doesn't end up in pieces!,4,1,5,General,Tops,Knits
8605,8605,279,48,Don't bend over,Totally see through.,1,0,1,General Petite,Intimate,Lounge
11602,11602,835,68,Strange cut,I really wanted to love this top the material and pattern are lovely but the fit is strange. it looks like a maternity top on me and as another reviewer said it is right across the back but loose at arms and midsection. for the price i returned it.,3,0,0,General,Tops,Blouses
21090,21090,863,70,Cute tees,"I first saw this tees paired with a skirt (blue and white stripes on the website). i immediately like the unique shape around the shoulder, v-neck line with a gap to the sleeves. even the color is white, it looks very appealing to me, simple yet unique. i bought the tees in white and black colors. i expected the white one to be sheer, but not the black one. even with a nude bra, i can slightly see the bra shape inside the tees. the size is running large. i usually wear size s with retailer. i got",4,1,0,General,Tops,Knits
5468,5468,939,32,,It sits a little short but works great for a jacket when you don't want to have a big winter coat when going out.,5,1,0,General,Tops,Sweaters
20159,20159,883,44,Nice surprise,"I took a risk on this one. i wasn't sure if the shirt was more green or more blue. i look better in blue. it turns out that the shirt is a bit more green, but i think it still looks good! i'm 5'3' and 125 lbs. i got a medium. i could have maybe gotten a small, but i like the medium. the shirt has a bit of a vintage look to it, which i like. all in all good.",4,1,0,General Petite,Tops,Knits
6703,6703,1080,25,Amazing,Perfect summer dress! this is a must buy! it can be dressed up or down,5,1,2,General Petite,Dresses,Dresses
11030,11030,877,49,Comfortable and stylish layering piece,"I like the warm neutral color of this piece and the figure-skimming shape with waist definition. it is a soft and warm layering piece. sadly, the sleeves were too long for me and have long zippers at the cuffs so rolling them up didn't work. i wish i had caught this piece while they still had my size in petite!",5,1,1,General,Tops,Knits
22855,22855,1066,71,Must have for summer,Chic and comfortable even in 90 degree heat. so easy to wear.,5,1,1,General Petite,Bottoms,Pants
1289,1289,850,34,,"I'm still on the fence with this shirt. i have the grey - it almost looks like a cheetah design up close. i'm 5'3""",3,1,0,General,Tops,Blouses
11850,11850,333,39,,,3,1,0,General,Bottoms,Shorts
14229,14229,1111,38,"Beautiful, but slip is small","I ordered this in a size 4 and it is great quality. the only problem is the size of the slip. the top is very tight across my average chest, but fine elsewhere - odd fit. the dress fits great and i debated finding another slip, but ultimately decided to return it.",3,1,11,General Petite,Dresses,Dresses
19389,19389,829,34,Beautiful fabric great for spring,I was very impressed with the quality of the satin. this top can easily be dressed up or down. i purchased the white and love it! the almost full zip back makes for easy on and off. i ordered a medium and think it runs a little big.,4,1,4,General,Tops,Blouses
13429,13429,1049,36,,,5,1,0,General,Bottoms,Pants
9139,9139,1001,66,So cute but not on me,"This is a beautiful skirt. great, soft, draping fabric. fringed along the edges. i ordered size large, which was an okay fit, perhaps a bit wide but the drawstring helps at the waist. because i carry my weight in the tummy, this made me look wider than i am. as an elder, i just couldn't handle the length which hit me right at the top of the widest part of knee. i have great legs but my knees aren't their best feature. so sadly, returned but i do recommend.",5,1,0,General,Bottoms,Skirts
17694,17694,1095,32,Had to buy it.,"I tried this dress at a store today and ended up ordering it online. i tried the red which is a beautiful, vibrant color. i wasn't sure how it looked on my skin tone though (pale like death), so i ordered the black. i do believe it runs small in the chest and shoulders. i am normally a size 4 in shirts, but the buttons were straining over my chest and my shoulders felt constricted. i tried the 6 and it was plenty roomy. for reference, i am a 32c with athletic shoulders. overall...

pros:
-an",5,1,0,General,Dresses,Dresses
733,733,886,41,Love the neckline,"I needed a tee refresher, i had a good feeling about this one so ordered all three colors when they were on a promo, and i'm not disappointed. the neckline is different and works great to emphasize your favorite necklace. the tee holds shape after washing and drying. my favorite is the blue which i like to wear with dark wash jeans as styled on the model. the white has a cream tinge to it and i'm able to wear it with a nude bra without looking indecent. there is a cute little button detail at th",5,1,5,General Petite,Tops,Knits
20628,20628,860,42,"Good idea, poor execution","This tunic is a perfect length for leggings. the mauve color got rave reviews on my first wearing. and the mixed media and asymmetrical styling gave the garment a unique appeal and made it quite flattering. however, when i wore it a second time, i noticed two micro holes in the sleeve. one near my wrist and the other at the shoulder. since i take extreme care when laundering my clothes, it seems this will have to be a return as the jersey knit is not strong enough to hold up in the delicate cycl",2,0,0,General,Tops,Knits
18802,18802,862,34,A pop of color and style,"Pros:
- fits tts. i tried on a size m and it fit well for my 36c and hourglass frame.
- the cowl neck gives it a nice touch of class.
- love the pop of yellow. not too showy and yet cute and fun.
- fabric has a great feel and stretch to it. forgiving fit. 
- will go with many outfits.
-wore a nude bra and had no see-through issues.
______________
cons:
- does seem a tad delicate, easy to snag due to being a knit, but otherwise solid construction.
- unlined.
______________________
rea",4,1,11,General Petite,Tops,Knits
13317,13317,836,63,Love! so comfy and chic,"This top is so beautiful and well made, and the detailing in the back is gorgeous. it's unexpected and makes this piece really special. it does run a tiny bit large; i've gotten retailer chambray a before, and they usually shrink a touch in the wash and then for just right. i haven't washed this yet, but even a little large it fits well and hangs nicely without being overly baggy. get this, you won't regret it!",5,1,0,General Petite,Tops,Blouses
11001,11001,1086,44,Lovely look but disappointing quality,"I was so excited to get this dress; i ordered the red, and it's a beautiful, vibrant, festive color. i am small-busted, 5'3"" and 120 lbs, and i got the regular xs, which fit very well, fitted but not too tight. i normally order petite, but i wanted the dress to hit a little lower on me than on the model; it ended up just above my knee, and i was happy with that. the shape is very flattering and i really like the scallop detail on the back v. the fabric looks substantial but isn't super heavy? an",3,0,3,General,Dresses,Dresses
3980,3980,866,23,Weird seams,This would have been a cute top but the shoulder seams come halfway down the arm and give it a really weird shape. it looks smooth and fine on the model but in real life they stick out and make you look boxy. too bad!,2,0,3,General,Tops,Knits
11096,11096,873,39,,,5,1,0,General,Tops,Knits
12796,12796,828,51,A nice twist on a classic,"I love the cut of this shirt! interesting back, and it hangs nicely.....surprisingly flattering! i'm usually a small and needed the xs in this shirt, fyi. very soft, and overall just very pleased with this purchase! i bought it in the denim as well!",5,1,0,General,Tops,Blouses
2005,2005,1083,43,Prettier in person,"The picture online doesn't do this pretty dress justice. i'm curvy, and always searching for dresses that don't make me look like a sack of potatoes. its pin tucks at the bust give it a little shape, and the print is much more vibrant in person. will look great with tights and a black blazer for dinners out.",5,1,0,General Petite,Dresses,Dresses
14027,14027,939,40,Love this jacket!,"I was looking for a cross between a light, fall-wool jacket and a cardigan and this is it! the red version looks festive in the winter, and the hood adds a bit of spunk. looks great both open and buttoned. i received many compliments on this the first time i wore it.",4,1,0,General Petite,Tops,Sweaters
21660,21660,75,28,So fun!,"I tried on this romper when it was still full price and loved it, but wasn't sure i wanted to splurge at the time. at the new sale price this romper is definitely worth it for the quality and style. i am 5'2''/103lbs and the xs fits pretty well, but truthfully an xxs would have been better if it existed. the top part of the romper (above the waist) is a bit long--- the waistband hits maybe an inch or 2 below my natural waist, but perhaps this can be tailored. overall very happy with this purchas",5,1,1,General,Bottoms,Shorts
20547,20547,1053,66,Great fit,"I have these pants in the blue/grey color and like them so much i got them in olive. wash well, fit perfectly... easy to throw on and look great!!",5,1,0,General Petite,Bottoms,Pants
22598,22598,870,44,Unique details,"Love the unique stitching on the shirt and the dye job.  i think it does run a little big.  the arm holes are quite deep even in a medium, but the fabric is thin so a tank underneath would probably work out well.",4,1,0,General Petite,Tops,Knits
3815,3815,828,59,Love,"This top is so cute. i don't usually like crochet tops, but when i saw this i just had to order it, so glad i did! my only complaint is that one of the button hooks broke, but that can be fixed.",5,1,3,General,Tops,Blouses
10104,10104,863,61,So soft and comfy,Got this in the pretty springy blue already wore it with white jeans and loved it!! love the loose longer swingy style and i can't wait to wear again! i may have to get another color!,5,1,1,General,Tops,Knits
10695,10695,1083,76,Here&amp;#39;s a tip!,"Fabulous dress!
clip off the tags because they show through the lace on the back (you can see this on the back photo of one recent reviewer).",5,1,0,General,Dresses,Dresses
23014,23014,1125,32,,"I agree with the other reviews that the side slits are not at all represented in the images. thankfully there was an instagram photo of the coat posted by the time i ordered it that showed the side panels very clearly, so i was not caught off guard. i like that the panels allow for ease of movement, but when there's a cold wind it would be nice if they were not there. this coat is a great statement piece for a night out, just not as much for day to day wear if you're looking for something warm a",4,1,0,General Petite,Jackets,Outerwear
19204,19204,1020,39,Great skirt,This skirt is adorable. there is no give to it though. i usually wear a 4/6 and got the 4 and i can't gain a pound or it won't zip. it is perfect for spring and summer. i'm 5'8 135.,5,1,0,General,Bottoms,Skirts
21971,21971,1047,49,Spring staple!,"Saw these in store and had to have them. online pictures do not do them justice. great pattern, fabric and features. can be dressed up or down. sizing is accurate--i am 5' 4"" and 117 lbs and bought an xs. they fit perfectly. wish they had more colors/patterns to purchase.",5,1,4,General,Bottoms,Pants
5826,5826,1033,31,Casual chic,"I'm really glad i read the previous reviews on this. i'm normally between a 27 or 28. thought a 28 would work best for me seeing that it's high waisted but i recommend sizing down on these guys, the 27 fits very comfortably. 

i""m 5'7 and i can wear them with flats.",5,1,1,General Petite,Bottoms,Jeans
1875,1875,857,38,Flows nicely,"I love this shirt. i'm 5' 4"", 110lbs, just had 3rd baby so not into tight fighting clothes at the moment. love the loose yet flattering fit of this shirt. the sleeves are not too tight on me and i love the length.",5,1,1,General,Tops,Knits
13707,13707,1008,36,Casual and fashionable,"I got this in black. will probably get in the purple print too. the purple is a bit more casual, while the black can be work appropriate if with a nice top. very comfy.",3,1,1,General,Bottoms,Skirts
20834,20834,1078,29,"Great quality, easy to wear dress!",This dress fits true to size and is great to wear around on a warm day. you can dress it up or down so there are many uses for it. this brand has always provided great quality too. i'm excited for warmer weather!,5,1,1,General,Dresses,Dresses
10183,10183,862,35,I love this shirt,"I got the red- it is a great color. this is one of those thin soft t shirts. it drapes really nicely and dresses up or dresses down. the only downside for me is that it takes a little extra effort in the washing department, but really not much- just have to line dry.",5,1,1,General,Tops,Knits
5039,5039,1095,35,,"I love this dress. it is super cute and comfy. i am 5'7 and a size small, 4 and 36c and i got this dress in a 4 and it fits great. a 2 might be a little more fitted on my waist but the 4 is comfortable and looks great. the length is perfect, not too short at all.",5,1,0,General Petite,Dresses,Dresses
9624,9624,872,23,,,5,1,0,General Petite,Tops,Knits
20952,20952,819,32,,"This blouse is just so beautiful! but i do love white blouses, so that may influence my enthusiasm. however, once i buttoned it up, it was just dreamy. i have a long torso and am tall for a typical xs, so it's often hard to find something that's the right length. this is perfect! it may overwhelm some ladies who are on the petite side of height, but it's a rare find for me. paired with a pair of cropped pants because i'd come in a dress, it looks delightfully vintage in the best of ways. i'm sti",5,1,4,General Petite,Tops,Blouses
9535,9535,862,49,A little see through,"I do like this top. i bought the cream color and it is flattering, but it is a little shear. i need to wear a cami underneath it. it also seems to be a little on the large side.",3,1,0,General Petite,Tops,Knits
1146,1146,777,33,Gorgeous leggings,"These leggings are beautiful and different. the material is very stretchy, sort of a spandex feel. panty lines definitely show in the back. i found they run true to size; i wear a size 6/medium/28 in pants or jeans and the size medium fit me great.",5,1,0,Initmates,Intimate,Lounge
21509,21509,1078,31,Beautiful color and fabric,"I really like the soft, flowy satin fabric and vibrant color of this dress! i am 5'5'' 125lbs, the s was too large, so i ordered the xs instead. things to note: pockets, elastic waistband with nice detailing on the sides, slip underneath, and large flutter sleeves. i think that women with smaller torsos should consider petite sizing.",4,1,5,General Petite,Dresses,Dresses
13647,13647,934,50,Gorgeous sweater but runs very big!,"I purchased the medium in this sweater as that was all that was left. but it fit like a large if not an xlarge! it's a beautifully made sweater and really soft. i now think i know why it suddenly becomes available again here and there. it's not the kind of sweater you want to wear over sized because as beautifully made as it is, it's not that flattering if it's hanging on you. luckily it suddenly became available in a small which i quickly ordered and will keep my figures crossed that it's bette",4,1,0,General,Tops,Sweaters
21426,21426,895,37,"Pretty colors, more cropped than anticipated","I am about 5'6"", 135 lbs and usually wear between a small or a medium. i ordered a small, as another reviewer did. right when i took it out of the packaging, i could see that it was going to be much shorter than you can tell from the online photo. i knew the sweater was going to be cropped, but it falls right at the top of my hip bones. when i raise my arms up, my whole midriff shows. did not flatter my athletic build at all. the fit around the shoulders and chest is fine, skimming but not tight",3,0,1,General Petite,Tops,Fine gauge
16929,16929,927,44,Gorgeous!,"This sweater is so lovely.. i like the fact that it's not super heavy, so you can be comfortable with a layer under it. the embroidery is beautiful. i usually get petite sizes when available, but the petite m was sold out when i purchased. i went with regular medium and am actually glad. it's not overwhelming or too long (i'm 5'2"").. in my opinion. if you're on the fence, go for it. totally worth it..",5,1,1,General Petite,Tops,Sweaters
22068,22068,850,41,,"Beautiful top but runs very small. based on some of the reviews that i read i ordered two sizes up from my usual size and it is still a little tight in the chest and around the ribs. i would like to exchange for the next size up but it is sold out in that size. considering how small this blouse runs it would have been nice if retailer had ordered some extra tops in larger sizes as i am sure that many people will have to size up. regardless, i love the blouse and would definitely recommend it to an",5,1,0,General,Tops,Blouses
11240,11240,558,25,So soft!,"This is one of the softest shirts ever! i agree with another reviewer about the shirt not worth the original price but once this shirt hit the sale item, totally worth it.",4,1,1,Initmates,Intimate,Layering
3569,3569,1077,48,Not for the high waisted,"I was so sad not to love this dress. it is beautiful, but is so unflattering on. there is a lot of material under the arms and it gathers up due to the smocking. so, it just made me look incredibly frumpy. i don't really think a petite would have helped - the gathers just bunch a bit and so rather than hang, the dress sort of clumps. i am lean but broad shouldered and maybe that is the problem, but i was super disappointed. narrow shouldered people with long torsos could pull this off. it is a t",2,0,0,General,Dresses,Dresses
11990,11990,1077,52,Gorgeous but challenging for buxom beauties,"Love, love, love but alas had to return. gorgeous fabric and elegant design, i purchased for an evening summer wedding. however, the cut of this dress is more suited to a small bust line and a short waist. i felt like it hit at my rib cage and not my natural waist and my top half was spilling out of the neckline. it was slightly loose so i don't think sizing up would have helped. maybe i needed to size down? i'm 5'6"", 145 lbs and had the 10. loved but it didn't fit me properly. also noticed the",4,1,0,General,Dresses,Dresses
20111,20111,520,36,,"I love the wide straps but it runs small and is short. still great for layering. great, soft material. i hate that it is so tight and short but if i size up them the arm holes would be way too big.",3,0,0,Initmates,Intimate,Layering
4315,4315,1078,55,Great dress!,This dress is a great casual outfit. tha fabric is substantial and very soft. the only negative would be it is a little large through the chest/arms. i ordered a large as i am curvy but would like to exchange for a medium. sadly the medium is sold out but i love the dress so much i am keeping it!,4,1,0,General,Dresses,Dresses
22976,22976,895,29,Beautiful and unique sweater,"I had purchased the black color of this sweater at full price and loved it so much that when i saw the burgundy color go on sale i knew i had to have it! this sweater is very comfortable and elevates any look with its lace down the sleeve, mock neck collar, and slightly flared silhouette. it's so fun to find different shirts to wear underneath to get a whole new look. highly recommend, would have gotten all colors!",5,1,0,General,Tops,Fine gauge
15935,15935,1087,31,,"I ordered this dress in coral. while i like it and the dress is nice, i have many other outfits that i like better so this will be going back to the store. i might have kept it in black or blue.",3,0,0,General,Dresses,Dresses
3126,3126,862,65,,Loved the fit. the size was true and it felt so soft on.,5,1,0,General Petite,Tops,Knits
5003,5003,868,61,,,5,1,0,General,Tops,Knits
14082,14082,1081,39,Love,"But i have no idea where i would wear this dress... i tried on the size 2 in store, someone had returned it, but i always loved the cut and color of this dress (been in my wish list) so i tried it on anyway. it is so lovely, the cut is super flattering, the bow on the chest is beautiful, and the colors are much nicer in person, pinker. the feel is a bit satin0like, soft. i would need the 0 as it was a bit wide on the chest, but not a petite - surprisingly (usually do need petite in dresses).
if",5,1,1,General,Dresses,Dresses
9900,9900,588,35,Least flattering romper ever,"Don't be fooled by the image; unless you have a c/d chest, this romper has masses of draped fabric right around your middle--exactly where you want it least! very unflattering and rather expensive for the poor quality. back it goes!",1,0,0,General,Bottoms,Shorts
21933,21933,829,42,Love,"It's perfect. perfect fit, long enough to wear leggings and cover my behind. it's perfect.",5,1,0,General,Tops,Blouses
2774,2774,864,46,Too much fabric,"This blouse has too much drapey fabric and it's just not flattering.  in the front part of the blouse the fabric is relatively short, but the sleeves have so much excess fabric it almost looks like a clown suit.  sending back.",1,0,0,General,Tops,Knits
16999,16999,944,50,Stylish lucsiously soft sweater!,"I see no one has reviewed this yet and since it is a beautiful sweater, and only available online, i thought i would contribute an opinion. the sweater is nicer in real life than the photo. it has a wonderful feel! the style: this sweater has very dramatic sleeves which i like though i could understand how that might annoy someone else. it is made with a heavy thick soft yarn so the sleeves hang nicely. i have worn it once and got complements so it is a sweater that while simple, is also a stand",4,1,1,General,Tops,Sweaters
8172,8172,1081,39,Pretty dress,"This dress is exactly what i was looking for for fall events. can be dressed up or down, flowy, suede-like fabric. i normally wear a small in most retailer pieces and even though i am pregnant in my first trimester i bought a small in this since it is stretchy and will fit me at different stages.",4,1,6,General Petite,Dresses,Dresses
10802,10802,125,35,Romantic top,This top is well made and the pleats give it a whimsical feel. i'm still debating on keeping it as it's slight boxy.,4,1,0,Initmates,Intimate,Layering
12822,12822,300,36,"Soft, stylish tunic",This tunic is super comfy and will look great with leggings or skinny jeans. i absolutely love the detailing on the sleeves. i am so glad i ordered this item!,5,1,0,Initmates,Intimate,Lounge
13361,13361,975,54,Pleasant surprise!,"This outfit was online for months with no review so i was skeptical to order but very glad i did as it is better in person. 
it is beautiful, high quality tommy bahama inspired suit. i am 55 so short shorts are risky even though i am a typical size 4 or 6. i took a 4 in the blazer and i am typically a high 4 or low 6 in size so i would say the blazer is very true to size. i took the size 8 in the shorts as i felt they ran small and i wanted the extra length. they ride a bit lower on my waist an",5,1,1,General Petite,Jackets,Jackets
21834,21834,1009,49,Love this skirt!,"I bought this skirt yesterday and love, love, love it!! very flattering, will go with anything. i am 5'5, 127, and size 6 fit perfectly.",5,1,8,General,Bottoms,Skirts
1862,1862,1026,34,Nice fitting cords-bronze,"These cords are soft, comfy and my normal size 32 for tts. the length was fine for my 5'9 height. i really like the bronze color, it is almost a yellow.",5,1,0,General Petite,Bottoms,Jeans
5756,5756,880,67,Flowers and butterflies!!,"This is why i shop at retailer. i was in one of my local stores recently, mainly to check out the sale. my boyfriend was with me. we hadn't been in the store 5 minutes when we passed a table with piles of folded tees. this one caught my eye. the color, omg! and then flowers and butterflies! try it on, he said, as i held one up. no..... i shouldn't. we wandered around, checked out the sale and all the new. and i was back at that table looking at that tee. so, i took a small and an xs to the fitting",4,1,7,General,Tops,Knits
12880,12880,984,47,Hooded utility cape,This was completely different than i expected. the xs/s was so large that it looked messy. unfortunately i had to return it.,2,0,0,General Petite,Jackets,Jackets
16720,16720,819,66,Classy shirt,Very comfortable shirt.  washes up nicely with just a little ironing on the pleats.  cute detail of colored thread on buttons.  just a tad tight in the shoulders but not distracting.  no button placket chest gapping.,5,1,0,General,Tops,Blouses
9269,9269,820,58,Cute top,I can't believe that i'm the first person to write a review. this top is so cute. i tried it on in a store and loved it. the sales person in the store said that it had been flying out of the store as soon as they got it in. the color and print are pretty. the fabric is sheer and cool and comes with a cami.,5,1,16,General,Tops,Blouses
18002,18002,1056,35,,"I love these pants! i got the blue ones. i got a petite 25 and i am 115lbs 5.1.5' - they sit low on waste and hug curves just right. they are little bit long, maybe 1 inch too long. will wear with platform or thick squared heel.",4,1,0,General,Bottoms,Pants
13618,13618,1080,32,,,5,1,0,General,Dresses,Dresses
9818,9818,933,47,Nice and cozy,"I love sweaters like this. it's perfect over a tank top for a casual every day look. it's soft, comfy, and i love the length. one more thing i like is that while it looks great just open, there is a snap to fasten it if you want to.",5,1,4,General Petite,Tops,Sweaters
5098,5098,1133,51,"Very pretty, quite small","This is an attractive, fitted vest. the tight belt on the back gives it a new look, great shape. the fabric is good quality. the neck is tight and high. i usually get a small at retailer, but this small is way too tight and there is no way you could put a sweater under which you usually do in weather cool enough for a vest. judging from the photo, i would guess she is an extra small wearing a small or medium. it looks good with taupe or brown pants/jeans",4,1,6,General,Jackets,Outerwear
22860,22860,1091,55,Perfect spring goddess dress,"I just received this dress and i feel like a goddess in it! it is perfect for graduations, weddings, romantic dinners, tropical va cations....heck, i'll wear it to the grocery store! i love it that much!

i am 5'7"" with a 34c bust.....i have this dress in a size 4 and it fits very well. this dress is slim cut from the shoulder down to the waist. the dress length hits me at the lower calf, just like the model online. i think the armholes are cut a little high...this being said; this dress would",5,1,19,General Petite,Dresses,Dresses
16768,16768,824,47,,Got lots of complements on this one. worn to work with skinny pants and a chunky necklace. classic look with a twist. would also look adorable with jeans as shown.,4,1,5,General Petite,Tops,Blouses
5808,5808,1056,33,Very well made!,This jumper is adorable and very well made! it is a bit tight in the ankles and it kind of gives me a hungry bum look but then i realized i ordered a 4p so it is actually tts. going to preview this number at my bachelorette party!,4,1,1,General,Bottoms,Pants
