,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
4521,4521,820,53,Love it,I bought this shirt along with a matching vest and duster........love it!,5,1,0,General,Tops,Blouses
18391,18391,850,30,Flattering denim,"I love the look of this top. my original order was returned because of a defect but the customer service was wonderful. they took it back at the store and sent out another one right away.
the style is very flattering and the quality of the denim is excellent.
love the back zipper as well.",5,1,0,General,Tops,Blouses
13829,13829,1070,59,Love these leggings!!!,"I purchased all 4 of the color/pattern offered. all fit beautifully and have washed up great with no shrinkage with line dry. the only pair i had retuned were the blue motif because they were made from a very different material with not near as much stretch and felt much smaller to me and not as comfortable. the pattern was cute and may work just fine with those who have a different build. i felt these were in general true to size. no doubt i will wear these all winter!
thanks antro!!",5,1,2,General,Bottoms,Pants
21258,21258,1126,42,Narrow shoulders,"I totally agree with the last reviewer. i'm 5'2"" 115 pounds with somewhat wide shoulders. the x-small fit my torso but was so tight in my shoulders i couldn't move my arms. the small was better but was too big in the torso. the material itself was really nice. too bad the fit was so awkward and unflattering.",2,0,0,General,Jackets,Outerwear
2838,2838,984,67,Fun jacket,"Love the fabric and the casual way this jacket drapes. the color is nice, i bought the blue. usually wear petite sizes but they were sold out so bought the misses in medium and it works perfect. like i can layer it for summer/fall since its very light weight fabric.",5,1,1,General,Jackets,Jackets
4359,4359,1094,58,"Runs small, but gorgeous!","Gorgeous, color, fabric, and cut. i ordered the blue in a 14. i always wear a 14p or large petite in retailer. i purchased a regular 14. it's a full size too small in the ribcage. cannot zip it up.. i'll be exchanging mine for next size up. even though i'm 4'11"", the length is fine. if you're tall, it might be pretty short for you.",5,1,35,General,Dresses,Dresses
11952,11952,829,49,Fun patterns and prints for a rainy day ;-),"I bought the umbrella print in the petite length. i'm pleased with the whimsical print and crisp colors. the fit is just right for me, although the style runs a bit wide at the waist. it's a casual loose fit, more fitted on top at the bust, shoulders and sleeves, and flaring out below the waist. i would wear it untucked over jeans or a narrow skirt. the only thing i'm not crazy about is the rayon fabric, though it is a substantial weight and machine washable.",4,1,1,General,Tops,Blouses
6354,6354,872,35,,"Gorgeous top but runs large, especially in the arm holes.",3,1,0,General Petite,Tops,Knits
3139,3139,909,30,"Beautiful sweater, but pills","I love the look of this sweater and was so happy with how it looked and felt when i first tried it on, but within a day of wear, i noticed significant pilling, which made it appear much older / worn.",3,0,0,General,Tops,Fine gauge
12015,12015,1077,29,Love it!,"When i saw this dress i knew i had to have it! i loved the colors and design. i am a wedding planner and dresses with pockets are my ""uniform""
i was a little concerned after reading some of the other reviews, but i ordered anyway and am glad i did! it fits perfect and looks just like the photo.",5,1,0,General,Dresses,Dresses
10644,10644,771,35,,Adorable romper. the only thing is the sleeves are a little shorter than portrayed in the picture. they come to about mid-forearm on me (and i'm a petite person). still cute but def not if you're looking for a full sleeve.,4,1,0,General Petite,Bottoms,Pants
7471,7471,907,50,,"This is a beautiful sweater that i wanted to love but i couldn't for a few reasons i thought i'd share: the color is bright orange. it is not softer like peach in the picture. it also was more clingy than a curvy woman like me can wear. i thought'd be more swingy but it was more structured. very pretty and good quality,tho.",3,0,7,General Petite,Tops,Fine gauge
14232,14232,867,42,Super flattering,This top is sold out in my size online but i was fortunate enough to snag one in the store. great top that can be dressed up or down. the ruching across the front is very slimming. tried the top with skirts and pants -- looks great with everything! i usually wear a size small in deletta tops but sized up to a medium to accommodate my chest (i am a full c cup). i highly recommend this purchase.,5,1,6,General,Tops,Knits
4332,4332,1078,36,Work or play!,"This dress is super comfortable and flattering.  i went with the stripes (and the p to shorten the length) -- it looks amazing with otk boots.  however, the material isn't very thick; it's more of a fall/spring dress than a winter.  i'm a xs-s p in retailer dresses - i went with the small.  xs would've fit but less flatteringly",5,1,0,General,Dresses,Dresses
17744,17744,1110,50,Bulky,I am 5 '5 and 119 pounds with an athletic cury body type. the dress wore bulky and ran large at size 2.,2,0,1,General,Dresses,Dresses
16290,16290,1081,31,Great dress but colors are off,"I ordered the red and the the fit is great but the red is actually magenta, not red at all. i'm returning and ordering in a different color.",4,1,0,General Petite,Dresses,Dresses
9348,9348,895,44,,,5,1,0,General,Tops,Fine gauge
10856,10856,1081,33,,"I love this dress. as a taller, long-torsoed woman, the sleeves are long enough and the length is perfect. the overall fit is also quite flattering, but i can imagine it might not be if you're shorter.

the material is really lovely and luxurious-looking for jersey. it seems like it should wear well.

a great work-to-evening option, as well!",5,1,10,General Petite,Dresses,Dresses
12000,12000,602,39,,,5,1,0,General,Bottoms,Shorts
1062,1062,949,23,Perfect in all respects,"True to size for petite person; bought in blue - subtle shading, looks great; paired with your blue straight leg blue ""jeans""; perfect outfit for almost all occasions.",5,1,0,General,Tops,Sweaters
22974,22974,1107,40,Love this dress!,"I got this in blue and i love it! it skims your curves without being clingy, and it is very comfortable. i was hesitant to buy this, but it's surprisingly flattering! it will be perfect with heels for early fall, then worn with a long sleeve shirt and boots when the temperatures dip. my only caution is that it is shorter than it appears in this photo. it falls well above my knees, and i am shorter than the model. regardless, i am thrilled with my purchase!",5,1,9,General Petite,Dresses,Dresses
14395,14395,1078,31,,"The dress is  very feminine and very flirty. i love orange/melon-colored dresses. this one does not disappoint. it does run extremely small around the rib cage. i had to size up to a 6 when i typically wear a 2 or 4. my bra size is 32 b. nice quality fabric, lined, with built-in bustier.",4,1,1,General Petite,Dresses,Dresses
22750,22750,1068,58,Re: love this jumpsuit!,"Purchased it in raspberry. first time it came in the mail, it was stained and the hem looked like it had been dragged through the mud! come on customer service, you need to be more diligent about checking out items before you ship them! i ordered it again, and this time it was a new jumpsuit in plastic, so pristine. 
i am a size 8-10, and the small fit me fine. the lining is a little tight in the crotch area, but i can put up with it for the style of this jumpsuit!!",4,1,0,General Petite,Bottoms,Pants
5878,5878,862,62,Short and wide,"I desperately wanted this to work - it's a beautiful color and overall quality...it is just so short and wide (almost a perfect square if you lay it out flat). i can see it looking better on someone on the shorter side, but on my 5'7"" frame and long torso it just didn't look right. few extra inches and this could have been awesome!",3,1,6,General Petite,Tops,Knits
8386,8386,1092,57,Sweet little dress,"I was not so sure i would like this dress as i was afraid it may be too boxy looking. per other reviews i took a chance...i love it!
so sweet with my grey boots and just dressy enough...but still casual and fun.
detail work is very nicely done.",5,1,1,General,Dresses,Dresses
1213,1213,1094,42,Flowy and flirty for summer flings,"I originally ordered this in green, and unlike another reviewer, i thought the color was perfect for spring. it is trendy, flattering and fun in green, but perhaps not a color i would wear long-term, so i decided to return it and order it in red and black. i also noted the boxy cut, and if that is what you want, it runs true to size. however, if, like me, you want something a little more form fitting, consider ordering down a size or two (depending on your chest size,) and just carefully shimmy",5,1,0,General,Dresses,Dresses
19692,19692,927,47,"Runs large, pic doesn't accurately reflect color","I ordered this sweater in a medium with high hopes. i'm 5'8"" and slender, but with a 36' bust, and the medium was too loose and long (sleeves fell past my wrists). i would exchange this for a small for a better fit, but the color is not the white or cream color i was expecting. the color of this sweat is more of an oatmeal - not flattering on a far-skinned blonde. i think the color would look fantastic on someone with dark hair (as it does on the girl in the photo). the texture is great and i re",3,1,1,General,Tops,Sweaters
4016,4016,1056,45,Awesome chinos,These chinos fit great! they are extremely comfortable and true to size but note that they do loosen up quite a bit with wear. i bought all 3 colors!,5,1,0,General Petite,Bottoms,Pants
16468,16468,904,39,Simply love,"This sweater is substantial, well-made, fabric is thick and comfortable. the length is on the shorter side, not cropped but shorter, perhaps if they had petite, ti would be cropped. the sleeves are perfect length too on me, it looks shorter on the model, they hit at mys wrists (i do usually need petite length). it seems a simple top, but it is quite beautiful in person. i strongly recommend it, even for the price...

xs and i am 115 lbs, 30dd chest, 26.5 in waist",5,1,2,General Petite,Tops,Fine gauge
511,511,948,60,Cropped and itchy,"I'm assuming the model showing the sweater is at least 5'9"", it is slightly cropped on her , but it certainly doesn't look super cropped. i'm 5'4"" and its super cropped on me. even with high waist jeans.
also, it is incredibly itchy. i even tried it with a cami under but the itchy wool came right through the cami.
too bad, its a cute design, just needs some tweaking.",2,0,2,General Petite,Tops,Sweaters
8697,8697,829,26,So disappointed!,"I couldn't wait to get this top in the mail since they didn't have it at my local retailer, but i was so disappointed in both the quality and fit. the white is completely see-thru, i can't believe how sheer the material is - especially for the price. even as the shirt is lying down, i can see through both layers of it... the fit runs small, and short.",1,0,22,General Petite,Tops,Blouses
11327,11327,829,23,Lovely tunic,"I was headed out of my local retailer store when i spotted this beauty! i had been looking for a dress/tunic like this for some time. i got the lovely soft grey/white combo and it is lovely on. normally an xl in tops from retailer the large in this holding horses tunic fit perfect! also a note for women with bigger arms and shoulders this should work well for you as this is usually a problem for me and not the case with this piece! easily dresses up or down, both jeans and leggings work well",5,1,2,General,Tops,Blouses
2451,2451,861,49,Comfort and style,"I love this tee, it is comfortable and soft with the nice detail of buttons at the shoulders, a good v-neck, and subtle stripes. however it runs quite long! i thought i ordered the petite but i received a regular length tee and it was down to my thighs. so order a petite unless you are quite tall or like a tee to fall that low over your hip area.",5,1,0,General,Tops,Knits
11082,11082,90,41,,"I ordered both the black & the dark grey, the dark grey arrived first! they are very comfortable & flattering! there is a nice thigh slimming effect. i purchased the size small, regular length & they hit me at my ankle (5,5"", 130lbs), i can't wait for the second pair to arrive!",5,1,1,Initmates,Intimate,Legwear
22165,22165,992,32,So happy i bought this skirt!,"I love this skirt. it does run a little small, i ordered an extra small and it is tight at the waist, but still works. i have received more compliments on this skirt than maybe anything i have owned. i've been stopped at the grocery store by people telling me how much they like it. i also work with kids, and they all love it as well.",5,1,0,General,Bottoms,Skirts
6200,6200,872,52,This top could have been so sweet!,"I ordered the top from a store to have it shipped. 
it is very pretty but once on, it fit the wrong way. i got a small because i know that this designer tends to run tight across the bust. 
the shoulder was too rounded for this neck line. sleeves should have been either longer or sleeveless. the empire waist even on a smaller busted woman like myself was cut too high.",2,0,3,General Petite,Tops,Knits
18095,18095,834,58,Very cute shirt,This shirt is very comfortable and i received a lot of compliments when i wore it. i bought the neutral print and everyone wants to get close to see what it is . i would buy another if it came in this type of pattern.,5,1,2,General,Tops,Blouses
9112,9112,1094,35,Absolutely love this dress!,"I admittedly watched this dress until it went on sale, then was lucky enough to find it! i couldn't find my normal size (8p), so thought i would take a chance with the 10p and it fit perfectly! i haven't tried on the 8p, but i'm guessing it would have been a bit snug. the dress is comfortable and feminine, and i absolutely love it. i know i will wear it all summer!",5,1,0,General Petite,Dresses,Dresses
10100,10100,863,29,Beautiful color,This shirt is such a beautiful color! the lavender is a really lovely addition to spring wardrobe and goes with more than imagined. it has a bit of an oversized fit although it falls really nicely on slimmer silhouettes. it's also incredibly comfy and stylish with an updated look even to the most casual of attire.,5,1,0,General,Tops,Knits
2315,2315,860,32,"Do love it, however:","Tried the xs on in store from an online return, loved the tailoring but the shoulder seams were a bit tight and i'm usually a s in most tops. ordered the s and while it was flowy like some mentioned, it was still tailored on top & flattering. also versatile - wore it with wide leg denim & wedges as well as cut off shorts & boots. my only complaint is as the others mentioned, the almost immediate pilling even before the wash. sad about it because i love it. will keep and give a little extra tlc.",4,1,0,General Petite,Tops,Knits
10503,10503,1022,32,Ag wins again,"Ag is my go-to brand for comfortable, high quality jeans. these fit the bill!",5,1,0,General,Bottoms,Jeans
97,97,861,44,Huge,"I was very excited to order this top in red xs. so cute, but it was huge, shapeless and support thin! it had to go back. i should've looked at other reviews.",1,0,0,General Petite,Tops,Knits
9727,9727,1056,55,,These chinos are the best.  the fit is always true to size. the quality is great and the new fall colors are beautiful. my favorite are the plum. these are my go-to pants,5,1,0,General,Bottoms,Pants
22313,22313,1077,39,"Amazing, but runs sooo small!!","I  absolutely fell in love with the stress when i sought in the store. the fabric and drape of the fabric is amazing! however, it runs extremely small. i normally wear a medium and can sometimes even wear a small and dresses. i tried on the medium and the large and i could not even get them zipped all the way.  i'm so disappointed, as this is a gorgeous dress.  definitely size up at least one, maybe two sizes.",3,1,0,General Petite,Dresses,Dresses
2514,2514,1078,44,Wonderful but button issues,"This dress just feels and looks amazing. i love how it isn't too short like a lot of new styles. i think it will be wonderful with leggings or tights in the winter. i also love the plaid cuff detail. the only drawback is the buttons need to be reinforced. i got home and realized one button was missing. i went to the store to swap for a new one and when i went to cuff the arms, 2 buttons popped off!",4,1,0,General Petite,Dresses,Dresses
18682,18682,1094,31,Lovely. size up...maybe twice.,"This dress is so lovely in person, with more muted colors than pictured which will transition nicely into fall.  the overall cut of the dress is really flattering, especially for hourglass/ pear figures.  sadly, i had to return the dress because the arms were insanely small.  i after putting the dress on, i was worried i wouldn't be able to actually get it off.  if you have teeny, tiny arms...you'll probably be okay with your regular size.  if you have any kind of muscle (or squish :)), size up.",4,1,0,General,Dresses,Dresses
20577,20577,1059,42,Best linen pants,Today i happened to walk into my favorite store with an already reduced 30percent off sale sign. i tried on this pants and let me tell you-wow!! they are super comfy and made my behind look great!! i will definitely start wearing these asap!!,5,1,0,General Petite,Bottoms,Pants
21031,21031,1083,35,"Gorgeous dress, recommend for slimmer individuals","I love this dress! my bra straps do not show in the back. you can slightly see them in the front but wearing black or nude gets you around this problem. i love the slim design-it is very flattering. i tried this is my normal size 4 but also the 4 petite. the petite did not work for me since there is a larger fabric cutout for the butt area-this was too high and above my natural waste. because of this, i opted for the slightly longer option where the extra fabric was surrounding my bum. this does",4,1,2,General Petite,Dresses,Dresses
23081,23081,866,28,Perfect fit,Love this top!! fits perfectly & it's lovely,5,1,0,General,Tops,Knits
2335,2335,1047,55,Comfy pants,These pants fit great!! i ordered my normal medium and they fit perfectly. i was worried that they may look too much like pajamas and lot look right with my stomach but no issues there. i think i will get a lot of use out of these!,5,1,2,General Petite,Bottoms,Pants
21545,21545,864,39,,Bought this is black and white... love them but washed the white by hand and it shrunk...,5,1,1,General,Tops,Knits
18198,18198,1096,35,Lovely dress,"I love this dress. length falls as shown on model. i'm not sure if this fits true to size or not. i am normally a medium and kinda wished i would have ordered a large. i find that the neck is too tight and have to loosely tie it. also, the lining is smaller inside and it ends up causing the arm hole areas to roll inwards. so i feel like the back end up being sort of cape like. it's rather weird. the large may have too much material though. but overall, i still love this dress minus those few fla",4,1,0,General,Dresses,Dresses
19729,19729,842,38,Go to summer tank,"This tank i am in love with. the color is great to go with jeans or any color i have in my wardrobe. it works with skinny jeans, culottes or a skirt and perfectly compliments the current shoe styles. my gladiators, summer booties, and my espadrilles are all equally cute with this outfit topper. it is made out of the most beautiful lightweight material and will be great for the 100 degree plus summers that we have here in texas. the bra thing is a bit of a problem because a strapless bra dose not",5,1,6,General Petite,Tops,Blouses
11385,11385,1025,27,Great jeans!,"These pants are perfect! they are amazingly comfortable and soft - i could wear them all the time. i'm 5'2"" and have been looking for shorter jeans to wear with ankle booties, which has been pretty tough. i ordered 29 petite and the description said the inseam would be 24"". i don't know if that's true since they fall right at my ankle and usually that's around a 26"" inseam, but definitely a great length and i don't need to hem. the leg opening isn't too big, so i can roll it up/cuff them to get",5,1,0,General Petite,Bottoms,Jeans
12657,12657,762,35,Love love love this!,I went into the store to try this one on bc of my broad shoulders and muscular build (in arms) as sometimes the open shoulder pieces fit snug. this dress was perfect and so soft!!! fit me like a glove! i have a long torso and am 5'8'' so it's a little short - but throw on some tights and booties and it's perfect! i'm a size 10/12 and got a large :),5,1,3,General Petite,Intimate,Lounge
7686,7686,1009,36,,"It's absolutely beautiful! it's a bit more than what i want to pay for a skirt but it's worth every penny. i'm a true size 4, 130 lbs and 5'4"" and it fits perfect. very versatile.",5,1,1,General,Bottoms,Skirts
20241,20241,985,25,Perfect light jacket for fall/spring,"This jacket is exactly what i was looking for! it is a lightweight and comfortable material that will be perfect for fall/spring (and for layering during a mild winter!). i am 5'3, 128 lbs, and generally wear a small - but i ordered a medium in this jacket and am happy i sized up. the jacket is roomy, but the cinched waist makes it flattering rather than shapeless. i'd definitely recommend this anorak to anyone!",5,1,0,General Petite,Jackets,Jackets
2080,2080,850,53,Love it!,"This tank runs very true to size. i ordered my usual size 8, which fits like a glove. couldn't go any smaller. very pretty fabric which is lined above the peplum. i personally like the higher peplum, but it's a personal choice. great purchase!",5,1,3,General Petite,Tops,Blouses
23421,23421,850,39,Perfect tunic!!,"Love, love this tunic. my size 4 fits perfectly with a little room, material is very soft and very comfortable. could be worn with leggings or with a belt as a dress...so many options. so worth it!!!",5,1,3,General Petite,Tops,Blouses
11921,11921,829,48,Valo burnout top,"Gorgeous but just too short in length for anyone with a long torso.  i sized up to get more length, but then the neck opening was way too big and hung open to expose - well, everything up top.  wearing a cami would be an option but would take away from the dressiness of the top.  i had to leave without this item, but was disappointed because i love the colors and cut otherwise!",3,1,0,General Petite,Tops,Blouses
10224,10224,147,46,,,5,1,0,Initmates,Intimate,Sleep
15165,15165,850,54,Cute but.....,There were no reviews when i ordered this tunic so nothing to help gauge fit. it is very cute but the fit is strange - very narrow in the shoulders and chest.,3,0,0,General,Tops,Blouses
14151,14151,1028,37,Lovely gray jeans,"I agree with another reviewer that these are not ankle jeans. however, even as regular jeans they fit great and the color is lovely and very versatile. i normally need to have my jeans hemmed but the length on these is perfect for my 5'4 frame",5,1,0,General,Bottoms,Jeans
18320,18320,830,67,Odd style,"I should have paid closer attention to the other reviews. i could barely get this blouse over my head! after getting it on, the armholes too are very small. the blouse other than that is pretty and very girlie. i love the pleating and dolman sleeves but i was strangled around my neck. i tried the small but think a medium wouldn't have been much better. it needs a button opening on neck and sleeves. i would have to put this on before makeup or doing my hair. 
if you have a tiny head and pencil a",1,0,0,General,Tops,Blouses
14593,14593,1081,63,,Versatile and fun dress. color is better in person than picture. looks great with jeans jacket for chilly moments. doesn't wrinkle on long airplane trip and rolls up teeny-tiny for packing!,5,1,0,General,Dresses,Dresses
6028,6028,873,23,Pretty blouse,"Made of casual materials, perfect for drinks or to be used as a vacation top. has a very flattering cut and pretty design with chiffon trim on top.",5,1,0,General,Tops,Knits
1082,1082,987,58,Zipper is short,"This is a very comfortable, good-looking skirt. fits as shown. the zipper however is rather short, and it takes a bit of squirming to get it over the hips. once on, it's great.  it is not made in the usa, as stated. it is clearly marked ""made in mexico"" from ""globally sourced"" materials (i.e. not from the us).",4,1,4,General,Bottoms,Skirts
15798,15798,1092,27,So disappointed!,I was really excited when i ordered this dress for na upcoming beach vacation but was very disappointed when i finally saw it in person. it reminded me of those christmas nightgowns from the 90s with the red and white ruffles. pass!,1,0,2,General Petite,Dresses,Dresses
10474,10474,1035,42,Nice but a little skinny,I probably have 10 pairs of pilcro jeans and pants and most of the jeans are the skinny fit. i wanted something that wasn't a skinny fit so i thought i would try these straight fit jeans thinking they would be skinny but they also wouldn't be loose. just got them today and when i tried them on they were tighter then the skinny jeans i just took off. i guess i agree with the other reviewers that they fit like a glove. so if that's what you're looking for these will be great.,4,1,0,General Petite,Bottoms,Jeans
9672,9672,826,51,Not as pictured,"Really wanted to like this top. the model has it on backwards - the ""v"" is actually the back and closes with an eye hook (that is where the tag is ? there's also a seam running down the back). the front is actually a high round neck. the material has a metallic thread and felt rather scratchy cheap. i'm usually a s or xs. in this top the s had too much material at the bottom and flared out strangely. the xs was too short in the front and moving your arms caused it to ride up.",3,0,0,General,Tops,Blouses
23094,23094,942,53,Long sleeves,"I ordered this sweater in green in petite large. the color and knit is beautiful and the shoulders and body fit comfortably; however, the sleeves were very long for a petite. i roll them, and it looks okay but would have rather had a normal petite length sleeve.",3,1,0,General,Tops,Sweaters
20470,20470,1095,50,More of an a-line than straight,"There were no reviews when i purchased this dress. from the picture with the model, the dress looks to be a straight shift dress. i received mine yesterday and the dress flairs out and isn't straight. it is also pretty large. i ordered a medium as the smalls were sold out and i'm not sure i will keep it. still on the fence. dress is shorter than pictured as well. sleeves are shorter than shown. now, after having seen the dress and looking at the online picture, i think the model is holding her a",2,0,3,General,Dresses,Dresses
9083,9083,1094,70,Beautiful dress!,Just received this dress in the mail. it's stunning!! the lace is just beautiful. i ordered two sizes and had to size down a bit - the fit is generous. can't wait to wear this to my rehearsal dinner next week.,5,1,6,General,Dresses,Dresses
18104,18104,834,65,Sweet!,"I bought this in the black and white and like it a lot. i typically wear an xs or s, and purchased the small. glad i did because i think the xs would have been too snug. i like the tunic length and the fabric feels soft and smooth. it's a little low cut for me, but i'll wear a cami under it.",5,1,16,General,Tops,Blouses
2621,2621,1111,33,,This dress is amazing. it is comfortable with great fabric and very high quality. if you have a lot of curves it may not be the best dress as it has no give and flows straight down from the shoulder.,5,1,1,General,Dresses,Dresses
17636,17636,840,37,Cute...on someone else,This top is very cute...on other people. i ordered my normal size (xs) and just did not work out. it's very billowy on the bottom (too much for me) and the top portion did not lay right. the material is thin so you will need to wear a cami underneath it. perhaps if i got the petite xs that right have been a better fit...not sure. in the end the top went back.,4,1,12,General,Tops,Blouses
3295,3295,872,59,Cute shirt,"This is a really cute shirt. i love the design, color and everything about this shirt but the size. i am 5'1 and 105 lbs, i can usually wear an xs or xsp. the xs was huge and they were sold out of smaller sizes or i would have ordered one. this unfortunately had to go back.",3,1,0,General,Tops,Knits
15895,15895,936,56,A little odd...,"Love the knit, color, texture--but oddly a short and boxy fit...and so...not flattering.",3,0,0,General Petite,Tops,Sweaters
4987,4987,1110,46,Dress me up or dress me down !,"I have a gala to go to wear i am a board member. i had been eyeing this dress online and tried it in store! lurve! i got the black one which is a black lace over a sheer cotton nude, i also got the regular when i am petite as it hit longer for a black tie event. i have a large bust at 5'2"" size d, but small and short torso and the large just hugged the girls just right. i love the it can be worn fancy with block heels to a gala or wit ha jean jacket or espradilles for a casual summer night. this",5,1,0,General,Dresses,Dresses
20214,20214,881,59,Pull over sweater,"Looks beautiful in the photo and the color in person is beautiful but it runs so so large that i think even an extra small would be too large for me. just for comparison, and i wish all reviewers would include this, i am 5'5"" and weigh 120 pounds. i ordered a medium which a small to medium is my usual size but i ordered the medium because i wanted to have room to wear something under it. i could have worn two sweatshirts under this sweater. unfortunately i have returned it.",2,0,2,General,Tops,Knits
21594,21594,1109,52,Elegant,"This dress is absolutely stunning. i did agree with other reviewers that the skirt is very full. i had it taken in, and it fits exactly like the model.",5,1,0,General Petite,Dresses,Dresses
5828,5828,895,39,Not sure,"I love it but i don't at the same time:

sheer, so sheer, you can probably get away with a nude bra, but not sure... i tried on both colors, and love them both. love the shimmer... i ordered btoh xxs p and xxs regular...i think i would go with regular, the petite seemed cropped on me, so if i lift my arms, hello belly...

so overall, i would probably get this if it goes on sale, color is either way, but since i don't have an immediate need, i passed. nice turtleneck, though.

reference: 11",4,1,0,General,Tops,Fine gauge
13556,13556,1094,29,Great dress,"This dress is gorgeous in person. it is so much softer than it appears the photo and the fabric moves well. what you can't see from the picture is that the bodice sort of overhangs the skirt by an inch or so which is really nice for accentuating a small waist and separates the top from the bottom in a cool way. 

i am 5'6"" 135 lbs and curvy. 36-26-39 for reference. i ordered the 4 and it is loose although still flattering thanks to the forgiving cut. wish i had gotten a 2 but now they are sold",5,1,1,General Petite,Dresses,Dresses
3307,3307,872,58,Perfect top,"This top has the thickness and comfort of a sweatshirt, with artistic flair and a figure flattering, unique cut. it works very well on me as i'm a petite large. i only wish it was a little roomier, or that i was 10 lbs lighter, but it's stretchy and i really love wearing it. the color is a rich indigo with a slightly worn look which adds texture and dimension.",5,1,4,General Petite,Tops,Knits
12550,12550,1059,44,Love it!,"I bought this in-store after seeing it online, and am in love with the shape! the cropped legs give it a style advantage in my opinion.  for reference i'm 5'6"" 120lbs and a bcup. i got the xs. 
the torso was too baggy and lost it's shape with a small.  
as one reviewer mentioned it seems to be meant to be worn with a shirt underneath. i've tried with longer sleeved tops and with tank tops and they both look great - especially white. 

it has a modern cut and is very versatile. i plan to wear",5,1,2,General,Bottoms,Pants
2463,2463,1085,31,,"On the hanger, this dress looks a bit boxy, however once on, it has a beautiful flow and elegance to it. it's super feminine and cinches in at the waist perfectly. my one (major) complaint that prevented me from purchasing the dress? there's no give to the dress. i wasn't able to lift my arms up past 90 degrees and that's sort of a problem. it's a shame though because the outside shell is gorgeous and so structured, and it would have been a nice contrast to the shape of the dress on a body.",4,1,0,General Petite,Dresses,Dresses
19180,19180,993,52,Poofy not good for heavy legs,"The color is as pictured. good quality. it's lined. the zipper in the back makes it look updated. i ordered my usual size. small petite size 6. it fit perfectly. i'm 5 feet and 120 lbs. hourglass figure. i had high hopes. i have hips and short, heavy legs. the skirt only emphasized my flaws. if you've got great legs you will do well with this. i do own other short skirts. but the fact that is less tailored in look makes it better suited for a younger gal. if you're on the fence give it a try. it",2,0,6,General,Bottoms,Skirts
18276,18276,835,49,Weird fit,"I loved the look of this blouse online. i really wanted a cute eyelet top for summer. the blouse looked great out of the package but the fit was not good. i am a 00p and 32 b bra size, this top was too tight across my chest but billowed out in the back. its as if the armholes were too far forward. it is fairly short but i am short waisted. i really wanted this top to work but i had to return it. if i went up one size the back of the blouse would have been ridiculously large and the top was too e",1,0,1,General,Tops,Blouses
16984,16984,881,36,"Cozy, but runs large","I like the unique design and it's warm and cozy. i wear a medium 95% of the time, but had to exchange this for a small, but the sleeves are still long enough. it sheds a bit, but i'm guessing it will slow over time.",4,1,1,General,Tops,Knits
11906,11906,1089,31,A bit big,"This is a lovely dress, the shape is really flattering and it's light and easy to wear. the only problem i have is it runs a little big - i'm normally a 6-8 and i'm sizing down to a 4. otherwise it's pretty perfect, the length is good for taller women (i'm 5'11"") and the bodice is sturdy enough that smaller cup sizes won't need a bra. definitely recommend this!",4,1,12,General,Dresses,Dresses
1312,1312,850,41,Love the color,"The green is a deep, beautiful shade. the fabric and fir is very flattering!",5,1,0,General,Tops,Blouses
13782,13782,1078,45,Definitely size down,"Love everything about this dress except - it runs huge.  i am busty and usually wear a 12 in dresses, but the large was completely shapeless on me.  will try medium and hope it is better bc otherwise i love the dress!!",4,1,0,General,Dresses,Dresses
7398,7398,1100,59,Great drapey fabric,I loved the fabric and this print but it was just cut a little wrong for me. the gathering on the side made me look a bit wide. but the fabric is beautiful and everything else was nice. i did like the fact that it ties in the back so you can slim down the sillouhette (sp?) if you want to.,4,1,1,General Petite,Dresses,Dresses
16054,16054,1081,24,Beautiful minimalist dress,"This dress is stunning and very flattering. i am a few months postpartum with just a bit of belly flub left, and this skims in all the right places without showing that. the fabric is gorgeous, although it seems like the darker colors can be a little sheer (i got the holly). absolutely love this, would consider picking up another color. i do find it runs a little small compared to other dolan pieces, including those in this fabric. i have a tunic and another dress in a small. i got a medium here",5,1,0,General Petite,Dresses,Dresses
14277,14277,869,36,,,5,1,0,General,Tops,Knits
10755,10755,945,32,,,4,1,0,General,Tops,Sweaters
12799,12799,822,39,"Beautiful, unique top","I loved this top when i laid eyes on it online, and in person, it did not disappoint. it is a beautiful and unique top. the color is striking and the style is adorable. i can't wait to wear this with some flare jeans and espadrilles.",5,1,1,General,Tops,Blouses
16743,16743,1075,42,Score!,Great dress that is very flattering. works well with flats or can be dressed up with heels. perfect for travel because the material doesn't wrinkle. would highly recommend this dress!,5,1,0,General,Dresses,Dresses
20968,20968,1078,42,"Great concept, but fell short","I normally wear a medium in retailer dresses, but ordered a small due to the reviews that stated how large this dress is. they weren't exaggerating!!!! the small was way too big for me, and the xxs and xs are already sold out. beware that you will have to size down at least 2 sizes to make the dress fit similar to the model pictured. it is going back for me!",2,0,0,General,Dresses,Dresses
11334,11334,829,65,Love this tunic!!!,"This looks sooooo much better on, than on the hanger/in the picture. i bought the grey, and it is the most comfortable tunic i've ever worn. it is light, airy, and so easy to wear. i wish it came in more prints/colors, cause i'd buy another one, in a skinny minute! if you don't try this on, you're missing out on a surprisingly awesome wardrobe piece. you can wear it year-round with jeans, pants, a vest, wrap, scarves, leggings, boots, sandals or anything else, and it looks chic and whimsical. go",5,1,1,General,Tops,Blouses
